2021-08-07 14:01:03.598 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 14:01:03.606 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 14:04:41.288 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 14:04:41.288 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 14:04:41.507 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：5,0,50,自动_1
2021-08-07 14:04:43.515 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:04:43.530 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:
2021-08-07 14:04:43.546 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:04:43.593 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:04:43.624 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":-1,"msg":"必须选择媒体文件"}
2021-08-07 14:04:43.640 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:04:43.640 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:None
2021-08-07 14:04:43.640 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：6,1,50,自动_2
2021-08-07 14:04:45.640 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:04:45.655 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:
2021-08-07 14:04:45.671 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:04:45.686 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:04:45.718 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":-1,"msg":"必须选择媒体文件"}
2021-08-07 14:04:45.733 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:04:45.740 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:None
2021-08-07 14:04:45.749 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：7,2,50,自动_3
2021-08-07 14:04:47.757 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
